electricity_consumption_GWh,HYDRO,WIND,SOLAR,Thermal,Cummulative_Connections,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,month,quarter,month_sin,month_cos
831.2392594778948,146.28021792299987,190.65607400000022,42.847976400000015,142.346801,9030266.0,872.8614151499996,831.1608722700003,856.6729186000007,845.0871822992982,852.0557714076091,2,1,0.8660254037844386,0.5000000000000001
850.0508765434488,146.28021792299987,152.34540699999994,40.589032599999975,166.85757400000017,9068533.0,831.2392594778948,872.8614151499996,831.1608722700003,851.3838503904477,850.9232472678906,3,1,1.0,6.123233995736766e-17
846.3319355490494,190.84650983400002,157.0015049999999,39.409826800000026,119.531562,9085751.0,850.0508765434488,831.2392594778948,872.8614151499996,842.5406905234644,848.0528795983988,4,2,0.8660254037844387,-0.4999999999999998
874.7823144045506,237.87944327199997,181.71732000000037,44.27785619999999,95.38258500000005,9165805.0,846.3319355490494,850.0508765434488,831.2392594778948,857.055042165683,851.0711122324906,5,2,0.49999999999999994,-0.8660254037844387
852.8460569849994,261.96647317000003,168.0592579999995,36.66036940000002,68.12813209999986,9212581.0,874.7823144045506,846.3319355490494,850.0508765434488,857.9867689795332,854.6853096849904,6,2,1.2246467991473532e-16,-1.0
883.9161549730478,279.4842371660001,198.46099400000043,37.89577099999998,108.28926600000013,9231288.0,852.8460569849994,874.7823144045506,846.3319355490494,870.514842120866,856.5277663221651,7,3,-0.4999999999999997,-0.8660254037844388
889.6198634911303,258.714681958,186.66116299999993,40.84684439999997,89.581152,9259722.0,883.9161549730478,852.8460569849994,874.7823144045506,875.4606918163926,866.2578669910378,8,3,-0.8660254037844385,-0.5000000000000004
879.2695218963709,247.19945202999997,141.30136799999954,39.25007760000002,130.17869099999996,9297369.0,889.6198634911303,883.9161549730478,852.8460569849994,884.2685134535163,871.1276412165247,9,3,-1.0,-1.8369701987210297e-16
879.531322999032,205.28063728799998,183.36042,42.866151599999995,140.56812300000007,9371542.0,879.2695218963709,889.6198634911303,883.9161549730478,882.8069027955111,876.6608724581885,10,4,-0.8660254037844386,0.5000000000000001
862.2254874196497,269.68863319224,177.53013485,35.6910996,67.929224,9420364.0,879.531322999032,879.2695218963709,889.6198634911303,873.6754441050175,874.568067960705,11,4,-0.5000000000000004,0.8660254037844384
832.3490702700001,273.6419545536,85.5037599999999,44.4432048,69.5465589999999,9456158.0,862.2254874196497,879.531322999032,879.2695218963709,858.0352935628939,871.1519035082051,12,4,-2.4492935982947064e-16,1.0
884.7793536100007,254.29758422400002,136.13325,38.280573999999994,90.65476399999999,9506149.0,832.3490702700001,862.2254874196497,879.531322999032,859.7846370998835,871.2957699476973,1,1,0.49999999999999994,0.8660254037844387
857.3888277780679,261.656248642,156.14420699999985,39.8239364,74.573989,9547949.0,884.7793536100007,832.3490702700001,862.2254874196497,858.1724172193562,865.923930662187,2,1,0.8660254037844386,0.5000000000000001
882.7947154530102,291.09894498399996,198.72161399999987,40.167709200000004,79.30592900000009,9573928.0,857.3888277780679,884.7793536100007,832.3490702700001,874.9876322803597,866.5114629216268,3,1,1.0,6.123233995736766e-17
886.5191124538906,362.37849258,82.96261499999986,37.0358318,93.46504000000009,9601493.0,882.7947154530102,857.3888277780679,884.7793536100007,875.5675518949896,867.6760944974366,4,2,0.8660254037844387,-0.4999999999999998
896.3155930736484,349.20591064,95.38640900000024,38.916738400000014,99.42998299999982,9637222.0,886.5191124538906,882.7947154530102,857.3888277780679,888.5431403268498,873.357778773103,5,2,0.49999999999999994,-0.8660254037844387
881.0129206380589,324.9372373720001,156.41919000000044,38.39758779999996,83.58614000000004,9659877.0,896.3155930736484,886.5191124538906,882.7947154530102,887.949208721866,881.4684205011127,6,2,1.2246467991473532e-16,-1.0
905.4683794099998,358.2258526,134.71362299999942,31.344500200000045,102.770627,9693954.0,881.0129206380589,896.3155930736484,886.5191124538906,894.265631040569,884.9165914677793,7,3,-0.4999999999999997,-0.8660254037844388
925.87487409684,320.884572576,158.05528499999988,34.44203240000001,99.49201199999992,9725984.0,905.4683794099998,881.0129206380589,896.3155930736484,904.1187247149661,896.3309325209079,8,3,-0.8660254037844385,-0.5000000000000004
909.1071842074882,270.95536653799996,190.60592200000025,36.41928849999996,92.3009653,9758141.0,925.87487409684,905.4683794099998,881.0129206380589,913.4834792381093,900.7163439799875,9,3,-1.0,-1.8369701987210297e-16
937.6413730547997,276.60461689399995,182.33883000000037,40.65869379999997,110.58945199999995,9791595.0,909.1071842074882,925.87487409684,905.4683794099998,924.2078104530427,909.2367207468059,10,4,-0.8660254037844386,0.5000000000000001
940.9081892308723,273.924316378,158.16430999999977,40.077204600000066,99.858821,9826348.0,937.6413730547997,909.1071842074882,925.87487409684,929.2189154977201,916.6688201063431,11,4,-0.5000000000000004,0.8660254037844384
886.0,286.308315546,148.02641299999993,44.8787958,103.44493280000015,9852423.0,940.9081892308723,937.6413730547997,909.1071842074882,921.5165207618907,917.5,12,4,-2.4492935982947064e-16,1.0
957.0,282.660656018,159.35398900000024,37.37510539999999,108.3885459999999,9882751.0,886.0,940.9081892308723,937.6413730547997,927.9693964102908,926.0886034316667,1,1,0.49999999999999994,0.8660254037844387
916.0,240.07984116600002,194.40629099999987,44.424766400000024,113.33523300000013,9917087.0,957.0,886.0,940.9081892308723,919.6666666666666,924.4427910821934,2,1,0.8660254037844386,0.5000000000000001
943.0,274.26718774399995,168.14440699999963,43.96889799999997,154.2083309999999,9948475.0,916.0,957.0,886.0,938.6666666666666,930.0915937142787,3,1,1.0,6.123233995736766e-17
943.0,293.70969442399996,142.38945100000018,39.33415240000002,119.03241499999992,9979211.0,943.0,916.0,957.0,934.0,930.9846982051454,4,2,0.8660254037844387,-0.4999999999999998
